policy_number,sale_date,product_value_,sale_value_nis,nature,percentage_of_sale,city,year_of_construction,area,bedrooms,addresses,address,coordinates,closest_direct_address,direct_distance_km,class,sale_year,sale_year_range,subgroup
"[6109, 451]",2023-08-10 00:00:00,1920000,1920000,משרד,1,רמת גן,2002,88,0,"['רמת גן דרך אבא הלל 10', ""רמת גן ז'בוטינסקי 7"", ""רמת גן ז'בוטינסקי 7"", 'רמת גן דרך אבא הלל 2']",אבא הלל 10 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2023,23-24,23-24 - 500-1000
"[6205, 297]",2024-01-04 00:00:00,1075000,1075000,דירה בבית קומות,0.5,רמת גן,1970,54,3,['רמת גן דרך אבא הלל 102'],אבא הלל 102 רמת גן,"(32.091272700000005, 34.814291999999995)",Bialik,0.466790224,0-500,2024,23-24,23-24 - 0-500
"[6205, 297]",2024-01-10 00:00:00,766666,766666,דירה בבית קומות,0.333,רמת גן,2001,60,3,['רמת גן דרך אבא הלל 102'],אבא הלל 102 רמת גן,"(32.091272700000005, 34.814291999999995)",Bialik,0.466790224,0-500,2024,23-24,23-24 - 0-500
"[6207, 502]",2021-11-25 00:00:00,650000,650000,דירה בבית קומות,0.333,רמת גן,1970,65,3,"['רמת גן דרך אבא הלל 29', 'רמת גן ביאליק 105']",אבא הלל 29 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2021,21-22,21-22 - 500-1000
"[6205, 109]",2023-06-07 00:00:00,2100000,2100000,דירה בבית קומות,1,רמת גן,2006,43,3,['רמת גן דרך אבא הלל 40'],אבא הלל 40 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2023,23-24,23-24 - 500-1000
"[6205, 686]",2023-03-01 00:00:00,1130000,1130000,דירה בבית קומות,0.5,רמת גן,1970,56,3,['רמת גן דרך אבא הלל 44'],אבא הלל 44 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2023,23-24,23-24 - 500-1000
"[6205, 584]",2023-06-22 00:00:00,2110000,2110000,דירה בבית קומות,1,רמת גן,1960,52,2.5,['רמת גן דרך אבא הלל 46'],אבא הלל 46 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2023,23-24,23-24 - 500-1000
"[6205, 584]",2023-11-20 00:00:00,2586288,2586288,דירה בבית קומות,1,רמת גן,2024,78,3,['רמת גן דרך אבא הלל 46'],אבא הלל 46 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2023,23-24,23-24 - 500-1000
"[6205, 584]",2023-11-21 00:00:00,2606288,2606288,דירה בבית קומות,1,רמת גן,2024,78,3,['רמת גן דרך אבא הלל 46'],אבא הלל 46 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2023,23-24,23-24 - 500-1000
"[6205, 584]",2023-11-21 00:00:00,3336288,3336288,דירה בבית קומות,1,רמת גן,2024,95,4,['רמת גן דרך אבא הלל 46'],אבא הלל 46 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2023,23-24,23-24 - 500-1000
"[6205, 584]",2023-11-22 00:00:00,2654788,2654788,דירה בבית קומות,1,רמת גן,2024,71,3,['רמת גן דרך אבא הלל 46'],אבא הלל 46 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2023,23-24,23-24 - 500-1000
"[6205, 584]",2023-11-22 00:00:00,2398788,2398788,דירה בבית קומות,1,רמת גן,2024,71,3,['רמת גן דרך אבא הלל 46'],אבא הלל 46 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2023,23-24,23-24 - 500-1000
"[6205, 584]",2023-12-03 00:00:00,2430788,2430788,דירה בבית קומות,1,רמת גן,2024,71,3,['רמת גן דרך אבא הלל 46'],אבא הלל 46 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2023,23-24,23-24 - 500-1000
"[6205, 584]",2023-12-07 00:00:00,2561788,2561788,דירה בבית קומות,1,רמת גן,2024,71,3,['רמת גן דרך אבא הלל 46'],אבא הלל 46 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2023,23-24,23-24 - 500-1000
"[6205, 584]",2023-12-13 00:00:00,2592788,2592788,דירה בבית קומות,1,רמת גן,2024,71,3,['רמת גן דרך אבא הלל 46'],אבא הלל 46 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2023,23-24,23-24 - 500-1000
"[6205, 584]",2023-12-26 00:00:00,2685788,2685788,דירה בבית קומות,1,רמת גן,2024,71,3,['רמת גן דרך אבא הלל 46'],אבא הלל 46 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2023,23-24,23-24 - 500-1000
"[6205, 584]",2023-12-27 00:00:00,3908788,3908788,דירה בבית קומות,1,רמת גן,2024,113,5,['רמת גן דרך אבא הלל 46'],אבא הלל 46 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2023,23-24,23-24 - 500-1000
"[6205, 584]",2023-12-28 00:00:00,2508788,2508788,דירה בבית קומות,1,רמת גן,2024,71,3,['רמת גן דרך אבא הלל 46'],אבא הלל 46 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2023,23-24,23-24 - 500-1000
"[6205, 584]",2024-01-15 00:00:00,2716788,2716788,דירה בבית קומות,1,רמת גן,2024,71,3,['רמת גן דרך אבא הלל 46'],אבא הלל 46 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2024,23-24,23-24 - 500-1000
"[6205, 584]",2024-01-30 00:00:00,2623788,2623788,דירה בבית קומות,1,רמת גן,2024,71,3,['רמת גן דרך אבא הלל 46'],אבא הלל 46 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2024,23-24,23-24 - 500-1000
"[6205, 584]",2024-03-31 00:00:00,2717023,2717023,דירה בבית קומות,1,רמת גן,2024,71,3,['רמת גן דרך אבא הלל 46'],אבא הלל 46 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2024,23-24,23-24 - 500-1000
"[6205, 584]",2024-03-31 00:00:00,5359023,5359023,דירה בבית קומות,1,רמת גן,2024,109,4,['רמת גן דרך אבא הלל 46'],אבא הלל 46 רמת גן,"(32.0949753, 34.8194359)",Ben Gurion,0.592064514,500-1000,2024,23-24,23-24 - 500-1000
